Country,Sales_Rep_ID,Merchant_ID,Transaction_Date,TPV_Amount,Net_Revenue,Activation_Date
Japan,2.62E+18,MT9HZKGU,8/5/2024,941.5,7.4958,
Japan,2.62E+18,MT9HZKGU,8/19/2024,86,0.4826,
Japan,2.62E+18,MT9HZKGU,9/19/2024,62,0.3486,
Japan,2.62E+18,MT9HZKGU,9/29/2024,98,0.6315,
Japan,2.62E+18,MT9HZKGU,9/23/2024,566,5.2907,
Japan,2.62E+18,MT9HZKGU,9/13/2024,544,5.1796,
Japan,2.62E+18,MT9HZKGU,7/28/2024,2051.5,14.5721,
Japan,2.62E+18,MT9HZKGU,8/2/2024,1131.5,6.50212,
Japan,2.62E+18,MT9HZKGU,9/11/2024,689,6.3596,
Japan,2.62E+18,MT9HZKGU,7/27/2024,1584,10.283,
Japan,2.62E+18,MT9HZKGU,7/30/2024,2201.5,14.493,
Japan,2.62E+18,MT9HZKGU,9/24/2024,192.5,1.1774,
Japan,2.62E+18,MT9HZKGU,8/10/2024,566,3.3329,
Japan,2.62E+18,MT9HZKGU,8/1/2024,2362,14.9734,
Japan,2.62E+18,MT9HZKGU,8/9/2024,1665,9.82714,
Japan,2.62E+18,MT9HZKGU,9/17/2024,82,0.4669,
Japan,2.62E+18,MT9HZKGU,8/13/2024,445,4.4452,
Japan,2.62E+18,MT9HZKGU,7/29/2024,2174.5,17.9873,
Japan,2.62E+18,MT9HZKGU,7/31/2024,2016,14.9905,
Japan,2.62E+18,MT9HZKGU,10/4/2024,66,1.0578,
Japan,2.62E+18,MT9HZKGU,9/14/2024,782,3.6837,
Japan,2.62E+18,MT9HZKGU,8/3/2024,1130.5,8.34377,
Japan,2.62E+18,MT9HZKGU,9/16/2024,271,1.4475,
Japan,2.62E+18,MT9HZKGU,9/26/2024,105,0.6898,
Japan,2.62E+18,MT9HZKGU,9/18/2024,186,0.5636,
Japan,2.62E+18,MT9HZKGU,8/7/2024,854.5,5.00053,
Japan,2.62E+18,MT9HZKGU,6/18/2024,1,-0.00481,
Japan,2.62E+18,MT9HZKGU,8/11/2024,761,4.4373,
Japan,2.62E+18,MT9HZKGU,8/12/2024,747.5,4.2341,
Japan,2.62E+18,MT9HZKGU,9/12/2024,441.5,2.2992,
Japan,2.62E+18,MT9HZKGU,9/15/2024,682,4.33686,
Japan,2.62E+18,MT9HZKGU,9/21/2024,66,0.4142,
Japan,2.62E+18,MT9HZKGU,8/8/2024,687.5,7.1798,
Japan,2.62E+18,MT9HZKGU,9/22/2024,187.5,1.0464,
Japan,2.62E+18,MT9HZKGU,8/6/2024,663.5,3.7316,
Japan,2.62E+18,MT9HZKGU,9/20/2024,60,0.3308,
Japan,2.62E+18,MT9HZKGU,9/25/2024,103,1.7453,
Japan,2.62E+18,MT9HZKGU,8/4/2024,773,4.3624,
Japan,2.62E+18,MT9HZKGU,11/8/2024,66.5,0.3676,
Japan,-6.23E+17,MQ4E2LS2,8/26/2024,1197.5,4.97934,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,7/28/2024,2379,8.57685,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,10/4/2024,1798,7.69465,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/24/2024,1622.5,7.248,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,6/22/2024,1943,8.08703,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/21/2024,1146.5,4.90806,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/1/2024,2069,7.69315,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/14/2024,1031.5,3.05697,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,10/14/2024,627,2.84717,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/25/2024,888,4.21262,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,10/20/2024,919.05,3.36129,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/13/2024,1915.75,9.20146,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,7/5/2024,1362,4.2667,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/22/2024,1152.82,5.51012,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,7/19/2024,1830.5,8.83114,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/7/2024,1194,5.20391,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/2/2024,1305.9,5.18465,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/19/2024,1705,9.26665,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/5/2024,1100.5,3.27722,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,7/23/2024,932,3.63369,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,6/21/2024,1684.3,6.56131,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,7/8/2024,1550.5,6.62506,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/12/2024,760,2.9423,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/17/2024,2578.9,10.90782,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,10/31/2024,771,3.07993,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,6/27/2024,1088,4.35072,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/27/2024,953.9,4.20874,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,10/28/2024,572,2.89877,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/12/2024,1906,7.42958,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/16/2024,2489,8.77726,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,7/31/2024,1185.5,4.64715,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/18/2024,2449,10.59416,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,10/22/2024,663.5,2.74456,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/8/2024,1064,4.56959,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,9/17/2024,1215.9,4.70779,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,10/18/2024,1146.5,4.87053,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,11/1/2024,1383,7.71976,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/30/2024,1563,5.48105,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,8/2/2024,2277.9,12.08579,6/20/2024
Japan,-6.23E+17,MQ4E2LS2,6/24/2024,812.5,3.62121,6/20/2024
